Край/Область,Зона
Белгородская область,1
Брянская область,1
Владимирская область,1
Вологодская область,1
Воронежская область,1
Ивановская область,1
Калужская область,1
Костромская область,1
Курская область,1
Липецкая область,1
Нижегородская область,1
Орловская область,1
Рязанская область,1
Смоленская область,1
Тамбовская область,1
Тверская область,1
Тульская область,1
Ярославская область,1
Кировская область,2
Оренбургская область,2
Пензенская область,2
Республика Башкортостан,2
Республика Марий Эл,2
Республика Мордовия,2
Республика Татарстан,2
Республика Удмуртия,2
Республика Чувашия,2
Самарская область,2
Саратовская область,2
Ульяновская область,2
Астраханская область,3
Волгоградская область,3
Краснодарский край,3
Республика Адыгея,3
Республика Карачаево-Черкессия,3
Ростовская область,3
Ставропольский край,3
Архангельская область,4
Калининград,4
Мурманская область,4
Новгородская область,4
Псковская область,4
Республика Карелия,4
Республика Коми,4
Республика Дагестан,5
Республика Ингушетия,5
Республика Кабардино-Балкария,5
Республика Калмыкия,5
Республика Северная Осетия - Алания,5
Чеченская Республика,5
Курганская область,6
Пермский край,6
Свердловская область,6
Тюменская область,6
Челябинская область,6
Алтайский край,7
Кемеровская область,7
Красноярский край,7
Новосибирская область,7
Омская область,7
Республика Алтай,7
Республика Бурятия,7
Республика Тыва,7
Республика Хакасия,7
Томская область,7
Ханты-Мансийский автономный округ - Югра,7
Ямало-Ненецкий автономный округ,8
Амурская область,9
Еврейская Автономная область,9
Забайкальский край,9
Иркутская область,9
Приморский край,9
Хабаровский край,9
Камчатский край,10
Магаданская область,10
Республика Саха (Якутия),10
Сахалинская область,10
Москва,Москва и МО
Московская область,Москва и МО
Ленинградская область,СПБ и ЛО
Санкт-Петербург,СПБ и ЛО
